Market,Item ,Sub Item,Server Name,Server Model,estimatimation,Service Tag,Ship Date,Age,No. of CPU,CPU Speed,CPU Type,No. of Cores/CPU,CPU Model,Amount of RAM,Config of RAM,Raid Card,Raid Card RAM,Drive Config (Int RAID Ext RAID),External Storage,External Interface,San Server,SAN Config,OS,OS Architecture,OS SP Level,Server Role,Warranty Type,Expiration Date,Can Be Extended
EMEA,Server,Dellsan2042,Dellsan2061,2950,300,GD5ST3J,7/24/2008,,2,3166,Core4Xeon,4,Intel Xeon CPU X5460,16gb,8x2gb,Perc6i,256mb,"2x146gb C&P R1 15K, 2x300gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR5,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,7/23/2013,Yes
EMEA,Server,Dellsan2043,Dellsan2062,2950,300,FD5ST3J,7/24/2008,,2,3166,Core4Xeon,4,Intel Xeon CPU X5460,16gb,8x2gb,Perc6i,256mb,"2x146gb C&P R1 15K, 2x300gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR5,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,7/23/2013,Yes
EMEA,Server,Dellsan2044,Dellsan2063,2950,300,DD5ST3J,7/24/2008,,2,3166,Core4Xeon,4,Intel Xeon CPU X5460,16gb,8x2gb,Perc6i,256mb,"2x146gb C&P R1 15K, 2x300gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR5,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,7/23/2013,Yes
EMEA,Server,Dellsan2045,Dellsan2071,2950,300,BDQ904J,10/18/2008,,2,2000,Core4Xeon,4,Intel Xeon CPU E5405,8gb,8x1gb,Perc6i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,N/A,N/A,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,10/16/2013,Yes
EMEA,Server,Dellsan2051,Dellsan2072,2950,300,4DQ904J,10/18/2008,,2,2000,Core4Xeon,4,Intel Xeon CPU E5405,16gb,8x2gb,Perc6i,256mb,"2x73gb C&D R1 15K, 2x73gb P R1 15K",SAN,2xEmulex LPe1150-E,STARR5,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,10/16/2013,Yes
EMEA,Server,Dellsan2052,Dellsan2091,2950,300,GLR573J,10/23/2007,,2,2333,Core4Xeon,4,Intel Xeon CPU E5345,8gb,4x2gb,Perc5i,256mb,"2x73gb C&I&P R1 15K, 2x73gb D&H R1 15K",SAN,2xEmulex LPe1150-E,STARR5,See attached JPG's,Win 2000 Adv,x32,4,Backup File Store,4hr Mission Critical,10/23/2013,No
EMEA,Server,Dellsan2053,Dellsan2092,2950,300,9JL7P2J,1/3/2007,,2,1600,Core2Xeon,2,Intel Xeon CPU 5110,8gb,8x1gb,Perc5i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR5,See attached JPG's,Win 2003 R2 Ent,x64,2,Backup File Store,4hr Mission Critical,1/3/2015,No
EMEA,Server,Dellsan2054,Dellsan33,2950,300,8P20R3J,6/12/2008,,2,1600,Core4Xeon,4,Intel Xeon CPU E5310,8gb,8x1gb,Perc6i,256mb,"2x73gb C&P R1 15K, 2x73gb E R1 15K, 2x36gb D R1 15K",N/A,2xEmulex LPe1150-E,N/A,N/A,Win 2003 R2 Ent,x32,2,SQL 2005 Server,4hr Mission Critical,6/12/2012,Yes
EMEA,Server,Dellsan2061,Dellstage2011,2950,300,6JL7P2J,1/3/2007,,2,1600,Core2Xeon,2,Intel Xeon CPU 5110,8gb,8x1gb,Perc5i & Perc3DC,256mb & 128mb,"2x73gb C&D R1 10K, 2x73gb G&P R1 10K, 12x73gb E R5 10K",PV220,RAID,N/A,N/A,Win 2003 Ent,x64,2,SQL 2008 Server,4hr Mission Critical,1/3/2013,No
EMEA,Server,Dellsan2062,Dellstage2014,2950,300,5JL7P2J,1/3/2007,,2,1600,Core2Xeon,2,Intel Xeon CPU 5110,8gb,8x1gb,Perc5i,256mb & 128mb,"2x73gb C&D R1 10K, 2x73gb G&P R1 10K",N/A,2xEmulex LPe1150-E,N/A,N/A,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,1/3/2013,No
EMEA,Server,Dellsan2063,Dellstage2024,2950,300,76TVV2J,4/13/2007,,2,3000,Core2Xeon,2,Intel Xeon CPU 5160,32gb,8x4gb,Perc5i,256mb,"2x73gb C&H R1 15K, 2x73gb P R1 15K, 2x300gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR3 & STARR5,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,4/12/2012,No
EMEA,Server,Dellsan2071,Dellstage2027,2950,300,5TXJ03J,7/6/2007,,2,1600,Core4Xeon,4,Intel Xeon CPU E5310,8gb,8x1gb,Perc5i,256mb,"2x73gb C R1 15K, 4x73gb H R5 15K",N/A,2xEmulex LPe1150-E,N/A,N/A,Microsoft Hyper-V Server 2008 R2,x64,N/A,Virtual Server Host,4hr Mission Critical,7/5/2012,No
EMEA,Server,Dellsan2072,Dellstage2041,2950,300,1T12R3J,6/14/2008,,2,1600,Core4Xeon,4,Intel Xeon CPU E5310,8gb,8x1gb,Perc6i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,6/14/2013,Yes
EMEA,Server,Dellsan2091,Dellstage2060,2950,300,7JL7P2J,1/3/2007,,2,1600,Core2Xeon,2,Intel Xeon CPU 5110,8gb,8x1gb,Perc5i,256mb,"2x73gb C R1 15K, 4x73gb H R5 15K",N/A,2xEmulex LPe1150-E,N/A,N/A,Microsoft Hyper-V Server 2008 R2,x64,N/A,Virtual Server Host,4hr Mission Critical,1/3/2013,No
EMEA,Server,Dellsan2092,Delltest2001,2950,300,HHL7P2J,1/3/2007,,2,1600,Core2Xeon,2,Intel Xeon CPU 5110,8gb,8x1gb,Perc5i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,Test Server,4hr Mission Critical,1/3/2013,Yes
EMEA,Server,Dellsan33,Delltest2010,2950,300,2T12R3J,6/14/2008,,2,1600,Core4Xeon,4,Intel Xeon CPU E5310,8gb,8x1gb,Perc6i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,Test Server,4hr Mission Critical,6/14/2013,Yes
EMEA,Server,Dellstage2011,Delltest2020,2950,300,GS12R3J,6/14/2008,,2,1600,Core4Xeon,4,Intel Xeon CPU E5310,8gb,8x1gb,Perc6i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,Test Server,4hr Mission Critical,6/14/2011,Yes
EMEA,Server,Dellstage2014,Delltest2030,2950,300,DHL7P2J,1/3/2007,,2,1600,Core2Xeon,2,Intel Xeon CPU 5110,8gb,8x1gb,Perc5i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,Test Server,4hr Mission Critical,1/3/2013,No
EMEA,Server,Dellstage2024,Delltest2041,2950,300,8JL7P2J,1/3/2007,,2,1600,Core2Xeon,2,Intel Xeon CPU 5110,8gb,8x1gb,Perc5i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,Test Server,4hr Mission Critical,1/3/2013,No
EMEA,Server,Dellstage2027,Delltest2042,2950,300,JS12R3J,6/14/2008,,2,1600,Core4Xeon,4,Intel Xeon CPU E5310,8gb,8x1gb,Perc6i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,Test Server,4hr Mission Critical,6/14/2011,Yes
EMEA,Server,Dellstage2041,Delltest2044,2950,300,7HL7P2J,1/3/2007,,2,1600,Core2Xeon,2,Intel Xeon CPU 5110,8gb,8x1gb,Perc6i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,Test Server,4hr Mission Critical,1/3/2013,No
EMEA,Server,Dellstage2060,Delltest2045,2950,300,2JL7P2J,1/3/2007,,2,1600,Core2Xeon,2,Intel Xeon CPU 5110,8gb,8x1gb,Perc5i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,Test Server,4hr Mission Critical,1/3/2012,No
EMEA,Server,Delltest2001,Delltest2060,2950,300,BHL7P2J,1/3/2007,,2,1600,Core2Xeon,2,Intel Xeon CPU 5110,8gb,8x1gb,Perc5i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,Test Server,4hr Mission Critical,1/3/2013,No
EMEA,Server,Delltest2010,Delltest2063,2950,300,8TXJ03J,7/6/2007,,2,1600,Core4Xeon,4,Intel Xeon CPU E5310,8gb,8x1gb,Perc5i,256mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,Test Server,4hr Mission Critical,7/5/2012,No
EMEA,Server,Delltest2020,Dellasia14,2950,300,59J4Q2J,1/20/2007,,2,2330,Core2Xeon,2,Intel Xeon CPU 5140,32gb,8x4gb,Perc5i & Perc5E,256mb & 256mb,"2x73gb C&P R1 15K, 2x146gb D R1 15K",MD1000,SAS,N/A,N/A,Win 2003 R2 Ent,x64,2,SQL Server,4hr Mission Critical,1/18/2013,No
EMEA,Server,Delltest2030,Dellasia15,2950,300,99J4Q2J,1/20/2007,,2,2330,Core2Xeon,2,Intel Xeon CPU 5140,32gb,8x4gb,Perc5i & Perc5E,256mb & 256mb,2x73gb C&D R1 15K,MD1000,SAS,N/A,N/A,Win 2003 Ent,x64,2,SQL Server,4hr Mission Critical,1/18/2013,No
EMEA,Server,Delltest2041,Dellasia16,2950,300,39J4Q2J,1/20/2007,,2,2330,Core2Xeon,2,Intel Xeon CPU 5140,32gb,8x4gb,Perc5i & Perc5E,256mb & 256mb,2x73gb C&D R1 15K,MD1000,SAS,N/A,N/A,Win 2003 Ent,x64,2,SQL Server,4hr Mission Critical,1/18/2013,No
EMEA,Server,Delltest2042,Dellasia17,2950,300,F9J4Q2J,1/20/2007,,2,2330,Core2Xeon,2,Intel Xeon CPU 5140,32gb,8x4gb,Perc5i & Perc5E,256mb & 256mb,"2x73gb C&P R1 15K, 2x146gb D R1 15K",MD1000,SAS,N/A,N/A,Win 2003 R2 Ent,x64,2,SQL Server,4hr Mission Critical,1/18/2013,No
EMEA,Server,Delltest2044,Dellasia18,2950,300,G148V3J,7/28/2008,,2,2330,Core4Xeon,4,Intel Xeon CPU L5410,32gb,8x4gb,Perc6i & Perc6E,256mb & 512mb,"2x73gb C R1 15K, 2x146gb D R1 15K, 2x73gb P R1 15K",MD1000,SAS,N/A,N/A,Win 2003 R2 Ent,x64,2,SQL Server,4hr Mission Critical,2/21/2013,Yes
EMEA,Server,Delltest2045,Dellasia19,2950,300,F148V3J,7/28/2008,,2,2330,Core4Xeon,4,Intel Xeon CPU L5410,32gb,8x4gb,Perc6i & SAS 5E,256mb & 512mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",MD3000,SAS,N/A,N/A,Win 2003 R2 Std,x32,2,SQL Server,4hr Mission Critical,2/21/2013,Yes
EMEA,Server,Delltest2060,Dellasia20,2950,300,H148V3J,7/28/2008,,2,2330,Core4Xeon,4,Intel Xeon CPU L5410,32gb,8x4gb,Perc6i & Perc6E,256mb & 512mb,"2x73gb C R1 15K, 2x146gb D R1 15K, 2x73gb P R1 15K",MD1000,SAS,N/A,N/A,Win 2003 R2 Ent,x64,2,SQL Server,4hr Mission Critical,2/21/2013,Yes
EMEA,Server,Delltest2063,Dellmar46,2950,300,9DQ904J,10/18/2008,,2,2000,Core4Xeon,4,Intel Xeon CPU E5405,8gb,8x1gb,Perc6i,256mb,"2x73gb C&P R1 15K, 2x73gb E R1 15K",ML6000,2xEmulex LPe1150-E,N/A,N/A,Win 2008 R2 Ent,x64,N/A,Arcserve Backup,4hr Mission Critical,2/21/2013,Yes
EMEA,Comms Server ,DellStage01,Dellmar13,6450,450,JXI03,6/1/2000,,2,550,Xeon,1,PIII Xeon,1.5gb,4x256mb 4x128mb,Perc2DC & Perc3DC,64mb & 128mb,"2x18gb C&D R1, 8x73gb E R5 10K, 6x73gb G R5 10K",PV220,RAID,N/A,N/A,Win 2000 Std,x32,4,SQL 7 Server,N/A,5/13/2001,No
APJ,Server,Dellasia11,Delldev03,6850,450,79MRW2J,4/27/2007,,4,3400,Core2Xeon,2,Intel Xeon CPU 7140M,32gb,8x4gb,Perc4DC,128mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",N/A,N/A,N/A,N/A,Win 2003 R2 Ent,x32,2,SAS,4hr Mission Critical,4/25/2013,No
APJ,Server,Dellasia12,Dellmar59,6850,450,GCF4V1J,9/20/2005,,4,3160,Xeon,1,PIV Intel Xeon,24gb,12x2gb,Perc4DC,128mb,"2x36gb C R1 10K, 2x146gb D&P R1 10K",SAN,2xQLogic QLA2340,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,9/19/2010,No
APJ,Server,Dellasia12 PV220,Dellmar61,6850,450,7N7BW1J,10/18/2005,,4,3660,Xeon,1,PIV Intel Xeon,24gb,12x2gb,Perc4DC,128mb,"2x73gb C&D R1 10K, 3x73gb E R5 10K",SAN,2xQLogic QLA2340,STARR2,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,10/17/2010,No
APJ,Server,Dellasia13,Dellsan2031,6850,450,1DMRW2J,4/27/2007,,4,3400,Core2Xeon,2,Intel Xeon CPU 7140M,32gb,8x4gb,Perc4DC,128mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR4,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,4/26/2014,No
APJ,Server,Dellasia13 PV220,Dellsan2032,6850,450,89MRW2J,4/27/2007,,4,3400,Core2Xeon,2,Intel Xeon CPU 7140M,32gb,8x4gb,Perc4DC,128mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR4,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,4/26/2014,No
APJ,Server,Dellasia14,Dellsan2033,6850,450,HCMRW2J,4/27/2007,,4,3400,Core2Xeon,2,Intel Xeon CPU 7140M,32gb,8x4gb,Perc4DC,128mb,"2x73gb C&P R1 15K, 2x73gb D R1 15K",SAN,2xEmulex LPe1150-E,STARR4,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,4/26/2014,No
